,Date,T,J,S,A,tdate,tdint,quarter,week
0,2008-05-11,34.0,,7.0,26.0,0.5260273972602739,-1.0,3.0,28
1,2008-05-18,40.0,,9.0,21.0,0.5452054794520548,-1.0,3.0,29
2,2008-05-25,45.0,,11.0,17.0,0.5643835616438356,-1.0,3.0,30
3,2008-06-01,29.0,1.0,13.0,12.0,0.5835616438356165,-1.0,3.0,31
4,2008-06-08,49.0,4.0,25.0,25.0,0.6027397260273972,-1.0,3.0,32
5,2008-06-15,43.0,4.0,8.0,38.0,0.6219178082191781,-1.0,3.0,33
6,2008-06-22,51.0,4.0,9.0,39.0,0.6410958904109589,-1.0,3.0,34
7,2008-06-29,36.0,4.0,9.0,35.0,0.6602739726027397,-1.0,3.0,35
8,2008-07-06,43.0,3.0,6.0,49.0,0.6794520547945205,-1.0,3.0,36
9,2008-07-13,26.0,,9.0,28.0,0.6986301369863014,-1.0,3.0,37
10,2008-07-20,39.0,,9.0,27.0,0.7178082191780822,-1.0,3.0,38
11,2008-07-27,51.0,,8.0,26.0,0.736986301369863,-1.0,3.0,39
12,2008-08-03,42.0,,8.0,25.0,0.7561643835616438,-1.0,4.0,40
13,2008-08-10,33.0,,7.0,25.0,0.7753424657534247,-1.0,4.0,41
14,2008-08-17,23.0,,,,0.7945205479452054,-1.0,4.0,42
15,2008-08-24,14.0,,,,0.8136986301369863,-1.0,4.0,43
16,2008-08-31,5.0,,,,0.8328767123287671,-1.0,4.0,44
17,2008-09-07,14.0,,,,0.852054794520548,-1.0,4.0,45
18,2008-09-14,18.0,,,,0.8712328767123287,-1.0,4.0,46
19,2008-09-21,18.0,,,,0.8904109589041096,-1.0,4.0,47
20,2008-09-28,18.0,,,,0.9095890410958904,-1.0,4.0,48
21,2008-10-05,18.0,,,,0.9287671232876712,-1.0,4.0,49
22,2008-10-12,18.0,,,,0.947945205479452,-1.0,4.0,50
23,2008-10-19,17.0,,,,0.9671232876712329,-1.0,4.0,51
24,2008-10-26,16.0,,,,0.9863013698630136,-1.0,4.0,52
25,2008-11-02,15.0,,,,0.005479452054794521,0.0,1.0,1
26,2008-11-09,14.0,,,,0.024657534246575342,0.0,1.0,2
27,2008-11-16,13.0,,,,0.043835616438356165,0.0,1.0,3
28,2008-11-23,12.0,0.0,0.0,12.0,0.06301369863013699,0.0,1.0,4
29,2008-11-30,21.0,8.0,1.0,17.0,0.0821917808219178,0.0,1.0,5
30,2008-12-07,21.0,8.0,1.0,20.0,0.10136986301369863,0.0,1.0,6
31,2008-12-14,20.0,8.0,2.0,22.0,0.12054794520547946,0.0,1.0,7
32,2008-12-21,20.0,8.0,2.0,25.0,0.13972602739726028,0.0,1.0,8
33,2008-12-28,29.0,8.0,,27.0,0.1589041095890411,0.0,1.0,9
34,2009-01-04,38.0,8.0,,30.0,0.17534246575342466,0.0,1.0,10
35,2009-01-11,8.0,9.0,,22.0,0.19452054794520549,0.0,1.0,11
36,2009-01-18,18.0,10.0,5.0,14.0,0.2136986301369863,0.0,1.0,12
37,2009-01-25,16.0,12.0,4.0,12.0,0.2328767123287671,0.0,1.0,13
38,2009-02-01,37.0,13.0,4.0,22.0,0.25205479452054796,0.0,2.0,14
39,2009-02-08,16.0,6.0,2.0,10.0,0.27123287671232876,0.0,2.0,15
40,2009-02-15,18.0,5.0,2.0,12.0,0.29041095890410956,0.0,2.0,16
41,2009-02-22,19.0,4.0,3.0,15.0,0.3095890410958904,0.0,2.0,17
42,2009-03-01,16.0,4.0,3.0,18.0,0.3287671232876712,0.0,2.0,18
43,2009-03-08,14.0,5.0,4.0,21.0,0.34794520547945207,0.0,2.0,19
44,2009-03-15,11.0,6.0,,23.0,0.36712328767123287,0.0,2.0,20
45,2009-03-22,19.0,6.0,,26.0,0.3863013698630137,0.0,2.0,21
46,2009-03-29,24.0,,,,0.4054794520547945,0.0,2.0,22
47,2009-04-05,32.0,,,,0.4246575342465753,0.0,2.0,23
48,2009-04-12,39.0,,,,0.4438356164383562,0.0,2.0,24
49,2009-04-19,46.0,,,,0.46301369863013697,0.0,2.0,25
50,2009-04-26,53.0,,,,0.4821917808219178,0.0,2.0,26
51,2009-05-03,60.0,9.0,8.0,43.0,0.5013698630136987,0.0,3.0,27
52,2009-05-10,52.0,9.0,8.0,42.0,0.5205479452054794,0.0,3.0,28
53,2009-05-17,44.0,9.0,8.0,41.0,0.5397260273972603,0.0,3.0,29
54,2009-05-24,37.0,8.0,8.0,41.0,0.5589041095890411,0.0,3.0,30
55,2009-05-31,29.0,8.0,7.0,40.0,0.5780821917808219,0.0,3.0,31
56,2009-06-07,20.0,,,,0.5972602739726027,0.0,3.0,32
57,2009-06-14,20.0,,,,0.6164383561643836,0.0,3.0,33
58,2009-06-21,20.0,,,,0.6356164383561644,0.0,3.0,34
59,2009-06-28,18.0,,,,0.6547945205479452,0.0,3.0,35
60,2009-07-05,16.0,,,,0.673972602739726,0.0,3.0,36
61,2009-07-12,15.0,,,,0.6931506849315069,0.0,3.0,37
62,2009-07-19,34.0,,,,0.7123287671232876,0.0,3.0,38
63,2009-07-26,51.0,,,,0.7315068493150685,0.0,3.0,39
64,2009-08-02,68.0,,,,0.7506849315068493,0.0,4.0,40
65,2009-08-09,52.0,,,,0.7698630136986301,0.0,4.0,41
66,2009-08-16,36.0,,,,0.7890410958904109,0.0,4.0,42
67,2009-08-23,22.0,,,,0.8082191780821918,0.0,4.0,43
68,2009-08-30,31.0,,,,0.8273972602739726,0.0,4.0,44
69,2009-09-06,40.0,,,,0.8465753424657534,0.0,4.0,45
70,2009-09-13,20.0,,,,0.8657534246575342,0.0,4.0,46
71,2009-09-20,48.0,,,,0.8849315068493151,0.0,4.0,47
72,2009-09-27,34.0,,,,0.9041095890410958,0.0,4.0,48
73,2009-10-04,33.0,,,,0.9232876712328767,0.0,4.0,49
74,2009-10-11,32.0,,,,0.9424657534246575,0.0,4.0,50
75,2009-10-18,30.0,,,,0.9616438356164384,0.0,4.0,51
76,2009-10-25,11.0,,,,0.9808219178082191,0.0,4.0,52
77,2009-11-01,15.0,,,,0.0,1.0,1.0,1
78,2009-11-08,20.0,,,,0.019178082191780823,1.0,1.0,2
