,Unnamed: 0,Unnamed: 0.1,ObservationID,Date,ObservationTimeApproximate,Troop,Observer,ObservationType,UTMNorthing,UTMEasting,LocationApproximate,LocationDescription,Notes,ST,SM,SF,SU,SA,SAM,SAF,SAFP,SAFL,SAFEN,SAU,SS,SSM,SSF,SSU,SJ,SJM,SJF,SJU,IT,IM,IF,IU,IA,IAM,IAF,IAFP,IAFL,IAFEN,IAU,IS,ISM,ISF,ISU,IJ,IJM,IJF,IJU,T,A,S,J,TimeSinceLast,TDiff,ObsYear,ObsMonth
0,0,1,cgl0805061010,2008-05-06 10:10:00,0.0,CGL,Mpho Ramotadima,Foraging,8026213.0,296182.0,0.0,,,33.0,,,,26.0,,,,,,,7.0,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,34.0,26.0,7.0,,,,2008,5
21,21,60,cgl0805211345,2008-05-21 13:45:00,0.0,CGL,Mpho Ramotadima,Foraging,8026268.0,296165.0,0.0,lodge canteen,,44.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,45.0,,,,15 days 00:00:00.000000000,11.0,2008,5
25,25,71,cgl0805260805,2008-05-26 08:05:00,0.0,CGL,Mpho Ramotadima,Foraging,8026209.0,296172.0,0.0,,,29.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,30.0,,,,5 days 00:00:00.000000000,-15.0,2008,5
40,40,119,cgl0805300945,2008-05-30 09:45:00,0.0,CGL,Pete Laver,Foraging,8026285.0,296102.0,0.0,foraging around kitchen,,26.0,,,,12.0,,,,,,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,26.0,12.0,13.0,1.0,4 days 00:00:00.000000000,-4.0,2008,5
41,41,120,cgl0805301005,2008-05-30 10:05:00,0.0,CGL,Pete Laver,Foraging,8026427.0,296082.0,0.0,boats,I think these 30 are in addition to the 26 seen at 0945 (troop is split).,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0 days 00:00:00.000000000,4.0,2008,5
49,49,146,cgl0806021315,2008-06-02 13:15:00,0.0,CGL,Pete Laver,Resting,8026407.0,296073.0,0.0,around boat house,half troop foraging and half resting.,32.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,32.0,,,2.0,3 days 00:00:00.000000000,2.0,2008,6
53,53,161,cgl0806040715,2008-06-04 07:15:00,0.0,CGL,Pete Laver,Denning,8026213.0,296139.0,0.0,pile of tiles behind staff canteen,half sub-adults and half adults ... ?,56.0,,,,25.0,,,,,,,25.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,56.0,25.0,25.0,6.0,2 days 00:00:00.000000000,24.0,2008,6
54,54,163,cgl0806040858,2008-06-04 08:58:00,0.0,CGL,Pete Laver,Moving,8026004.0,296142.0,0.0,crossing road towards lodge - running,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,0 days 00:00:00.000000000,-3.0,2008,6
64,64,180,cgl0806051515,2008-06-05 15:15:00,0.0,CGL,Pete Laver,Foraging,8026177.0,296115.0,0.0,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,1 days 00:00:00.000000000,-7.0,2008,6
73,73,197,cgl0806070743,2008-06-07 07:43:00,0.0,CGL,Pete Laver,Denning,8026214.0,296141.0,0.0,suspected den under tiles,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,2 days 00:00:00.000000000,10.0,2008,6
