,Date,Unnamed: 0,Unnamed: 0.1,ObservationTimeApproximate,UTMNorthing,UTMEasting,LocationApproximate,ST,SM,SF,SU,SA,SAM,SAF,SAFP,SAFL,SAFEN,SAU,SS,SSM,SSF,SSU,SJ,SJM,SJF,SJU,IT,IM,IF,IU,IA,IAM,IAF,IAFP,IAFL,IAFEN,IAU,IS,ISM,ISF,ISU,IJ,IJM,IJF,IJU,T,A,S,J,TDiff,ObsYear,ObsMonth,week,tdate,tdint,quarter
0,2008-05-11,1.0,3.0,0.0,16054168.0,598361.0,0.0,64.0,,,,26.0,,,,,,,7.0,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,65.0,26.0,7.0,,,4016.0,10.0,56,1.0520547945205478,-2.0,6.0
1,2008-05-18,24.6,49.06666666666666,0.0,32123526.2,1218510.2666666666,0.0,48.83333333333333,,,38.5,38.66666666666667,,,,,,30.5,4.333333333333333,,,4.0,5.333333333333333,,,7.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,87.0,60.0,14.0,8.0,-37.25,8032.0,20.0,145,2.7260273972602738,-5.0,15.0
2,2008-05-25,88.125,238.875,0.0,40149651.375,1514827.875,0.0,97.375,,,,40.875,,,,,,,6.0,,,,9.875,,,,2.0,,,,1.0,,,,,,,,,,,,,,,99.0,58.0,17.0,10.0,21.25,10040.0,25.0,150,2.8219178082191783,-5.0,15.0
3,2008-06-01,173.3,519.8,0.0,40150962.4,1515159.0333333332,0.0,99.4,,,,28.666666666666664,,,,,,,30.444444444444443,,,,4.777777777777778,,,,2.0,,,,1.0,,,,,,,,,,,,,,,101.0,38.0,30.0,7.0,5.633333333333334,10040.0,25.2,155,2.9178082191780823,-5.0,15.0
4,2008-06-08,368.1833333333333,1044.0190476190478,0.0,48181305.77380952,1826819.4047619046,0.0,130.74285714285713,,,,48.857142857142854,,,,,,,69.0,,,,14.464285714285715,,,,,,,,,,,,,,,,,,,,,,,131.0,57.0,72.0,15.0,5.771428571428571,12048.0,36.0,192,3.616438356164383,-6.0,18.0
5,2008-06-15,498.35238095238094,1275.3857142857144,0.0,40153449.45,1523948.4142857143,0.0,88.75952380952381,,,,70.0,,,,,,,35.2,,,,5.5,,,,1.0,,,,1.0,,,,,,,,,,,,,,,121.0,83.0,51.0,16.0,1.5309523809523808,10040.0,30.0,198,3.7315068493150685,-6.0,18.0
6,2008-06-22,733.2878787878788,1895.560606060606,0.0,48181318.06060606,1826263.9696969697,0.0,119.86363636363636,3.0,5.0,0.0,40.666666666666664,1.0,1.0,,,,,12.0,0.0,4.0,,3.333333333333333,2.0,0.0,,1.5,,,,0.0,,,,,,,0.0,,,,0.0,,,,121.0,78.0,48.0,15.0,-21.68181818181818,12048.0,36.0,204,3.846575342465754,-6.0,18.0
7,2008-06-29,765.6739130434783,1902.445652173913,0.0,40153276.706521735,1523974.4673913042,0.0,82.70652173913044,6.0,5.5,6.5,53.0,2.0,,,,,,25.0,,,,6.75,,1.0,,1.3333333333333333,,,,,,,,,,,,,,,,,,,114.0,71.0,46.0,21.0,-6.576086956521739,10040.0,30.0,210,3.9616438356164383,-6.0,18.0
8,2008-07-06,937.5714285714286,2268.2142857142853,0.0,40153269.9047619,1524046.214285714,0.0,96.71428571428571,10.0,5.0,3.6666666666666665,71.0,7.0,2.0,,,,,34.333333333333336,0.0,4.0,,6.0,0.0,0.5,2.0,3.0,3.0,1.0,,3.0,,1.0,,,,,,,,,,,,,127.0,87.0,49.0,22.0,15.714285714285715,10040.0,34.66666666666667,216,4.076712328767123,-6.0,18.0
9,2008-07-13,1289.7272727272727,3068.015151515152,0.0,48181478.803030305,1826422.7575757576,0.0,102.4090909090909,9.0,10.0,25.0,42.0,9.0,6.0,,,,,27.0,,4.0,,11.0,,0.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,102.0,66.0,52.0,21.0,-13.939393939393941,12048.0,42.0,222,4.191780821917808,-6.0,18.0
