,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Observation ID,Date,Time,Troop,Observers,Location,Latitude ,Longitude,Rain Type,Land Use,Temperature,Cloud Cover,Wind,Wilderness,Den Type,Park Habitat,Troop Number,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant third,Identifiable Individuals,Number sick,Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,Urine,Anal Gland Secr.,Comments,Mix,Troop Name,Split,Columna1,Columna2,Columna3,Columna4
,,27-Aug-15,9:45,FOR,Stephanie and Nisha,Chobe Land Board on the river side,-17.8038971,25.1478043,,,,,,,,,15,,,0,,,,Green collar with yellow stripes; two radiocollars,0,,,0,,no,no,no,"two troops in contact; quite aggressive with alarm calling, chasing, standing on back legs, bushy tails; a separate group of 14 individuals went behind Choppies",,,,,,,
,,27-Aug-15,11:10,MOW,Stephanie and Nisha,Bush at the town side of Mowana golf course,-17.7895879,25.157479,,,,,,,,,20,,,0,,,,Orange collar,0,,,0,,no,no,no,Running across the dirt road; difficult to observe,,,,,,,
,,27-Aug-15,12:20,THEBE,Stephanie and Nisha,Campsite #8 at Thebe River Safaris,-17.7858437,25.1826409,,,,,,,,,15,,,0,,,,Radiocollar,0,,,0,,no,no,no,Foraging and resting in the shade,,,,,,,
,,27-Aug-15,15:30,CCH,Stephanie and Nisha,CCH swimming pool area,-17.8269535,25.1380491,,,,,,,,,11,,,0,,,,Radiocollar; individual with 3/4 tail,0,,,1,5 - not using left hind leg,no,no,no,Radiocollared inidividual injured - not using left hind leg and emaciated; ran under green water tanks,,,,,,,
,,28-Aug-15,9:05,CSL,Stephanie and Nisha,Safari tents at CSL,-17.8084964,25.1459804,,,,,,,,,40,,,0,,,,Brown collar with yellow stripes,Unable to determine,,,Unable to determine,,no,no,no,Under Safari tent #2; difficult to observe; a very aggressive fight was audible,,,,,,,
,,28-Aug-15,10:00,WA,Stephanie and Nisha,Container behind Chobe Private Clinic,-17.7922695,25.1558965,,,,,,,,,32,,,0,,,,Blue collar with yellow stripes; radiocollar; white collar; orange collar,1,3,3 - emaciated; swollen eyes and nose; hunched back; fearlessness,0,,no,no,no,Foraging in the rubbish around the container; very curious,,,,,,,
,,28-Aug-15,11:00,SEF,Stephanie and Nisha,Fire station parking lot,-17.7889698,25.1821473,,,,,,,,,18,,,0,,,,Radiocollar,0,,,0,,no,no,no,Running from the fire station to the road between the dumpsite and Chobe Farms; joined up with another troop of 14 mongooses; travelled to the container behind the farm fridges,,,,,,,
,,28-Aug-15,11:30,KUBU,Stephanie and Nisha,Lawns in front of chalet #2,-17.7948873,25.2277529,,,,,,,,,9,,,0,,,,Radiocollar; pink collar,0,,,0,,no,no,no,Resting on the lawns; skittish,,,,,,,
,CSL040915,4-Sep-15,10:00,CSL,Stephanie and Nisha,Front entrance to CSl and curio shop,-17.8059171,25.1471472,,,,,,,,,26,,,0,,,,Brown collar with yellow stripes; Individual with 3/4 tail,1,,4 - emaciated; swollen face,0,,no,no,no,Foraging on the lawns; No signal/identification of the radiocollar (potentially fallen off),,,,,,,
,FOR040915,4-Sep-15,10:40,FOR,Stephanie and Nisha,Parking lot on the Marina side of the hospital,-17.8015502,25.1490033,,,,,,,,,19,,,0,,,,Green collar with yellow stripes; two radiocollars,0,,,0,,no,no,no,Climbed over the wall into Marina Lodge,,,,,,,
