,Date,Troop,Latitude,Longitude,Count,Complete Count?
1327,7/13/2018,PAN,-17.81117,25.15484,20,No
1328,7/15/2018,PAN,-17.81104,25.15474,19,No
1329,7/23/2018,PAN,-17.81097,25.15486,21,No
1330,7/24/2018,PAN,-17.81066,25.15479,9,No
1331,8/1/2018,PAN,-17.80898,25.15776,6,No
1332,8/9/2018,PAN,-17.81128,25.15659,12,No
1333,8/13/2018,PAN,-17.81123,25.15488,8,No
1334,8/15/2018,PAN,-17.81324,25.15604,16,Yes
1335,8/16/2018,PAN,-17.8114,25.15475,14,Yes
1336,8/28/2018,PAN,-17.81257,25.15642,16,No
1337,8/29/2018,PAN,-17.81116,25.15487,8,No
1338,9/5/2018,PAN,-17.81299,25.15607,6,No
1339,9/15/2018,PAN,-17.81129,25.15659,15,Yes
1340,9/17/2018,PAN,-17.81379,25.1564,15,Yes
1341,9/21/2018,PAN,-17.81326,25.15243,1,No
1342,10/9/2018,PAN,-17.81103,25.15472,10,No
1343,10/11/2018,PAN,-17.8115,25.15474,,No
1344,10/23/2018,PAN,-17.81076,25.15789,9,No
1345,10/23/2018,PAN,-17.81176,25.1546,16,No
1346,11/5/2018,PAN,-17.81118,25.15481,5,No
1347,12/3/2018,PAN,-17.815836,25.153403,8,No
