,Observation ID,Date,Time,Troop,Observers,Location,Latitude ,Longitude,Rain Type,Land Use,Temperature,Cloud Cover,Wind,Wilderness,Den Type,Park Habitat,Troop Number,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant third,Identifiable Individuals,Number sick,Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,# Feces,Urine,Anal Gland Secr.,Comments,Mix,Troop Name,Split,Columna1,Columna2,Columna3,AM/PM,Time up,Not seen,Columna4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPG130600,6/13/2000,,OPG,,,-17.8258,25.1358,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,OPG290600,6/29/2000,,OPG,,,-17.8253,25.1319,,,,,,,,,1,,,,M9/7,1,,,,,,,,,,,,"histopathology:1, NVL submission",,,,,,,,,,
,OPG070700,7/7/2000,,OPG,,,-17.8253,25.1319,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,OPG100700,7/10/2000,,OPG,,,-17.8253,25.1319,,,,,,,,,,,,,2204,1,,,,,,,,,,,,,,,,,,,,,,
,OPG130800,8/13/2000,,OPG,,,-17.8253,25.1319,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,WC170800,8/17/2000,,Watercart,,,-17.8322,25.1139,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,CSL280800,8/28/2000,,CSL,,,-17.8047,25.1469,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,MOW280800,8/28/2000,,MOW,,,-17.7814,28.1592,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,CSL310800,8/31/2000,,CSL,,,-17.8056,25.1464,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,SER020900,9/2/2000,,Serondella,,,-17.8419,25.0628,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,KWE050900,9/5/2000,,Kalweeze,,,-17.8408,25.0669,,,,,,,,,,,,,,1?,,,,,,,,,,,,,,,,,,,,,,
,WC070900,9/7/2000,,Watercart,,,-17.8303,25.1153,,,,,,,,,,,,,,1?,,,,,,,,,,,,,,,,,,,,,,
,CGL090900,9/9/2000,,Game Lodge,,,,25.0781,,,,,,,,,,,,,2377,1?,,,,,,,,,,,,,,,,,,,,,,
,MCP110900,9/11/2000,,Mowana car park,,,-17.7817,25.1589,,,,,,,,,8,,,,2390,,,,,,,,,,,,,,,,,,,,,,,
,MOW120900,9/12/2000,,Mowana,,,-17.7814,25.1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CGL130900,9/13/2000,,Game Lodge,,,-17.84,25.0756,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPG150900,9/15/2000,,Old Park Gate,,,-17.8258,25.1317,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SS160900,9/16/2000,,Savas stores,,,-17.8061,25.1469,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC180900,9/18/2000,,Watercart,,,-17.8292,25.1156,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/22/2000,,,,,-17.8081,25.1444,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CGL250900,9/25/2000,,Game Lodge,,,-17.8397,25.0769,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPG161000,10/16/2000,,Old Park Gate,,,-17.8253,25.1325,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPG070303,3/7/2003,17:00,Old Park Gate,Kathy,,,,,,,,,,,,20,No,,10,,,,,,,,,,,,,,"no males: 10 juveniles: 10+, foraging around house- investigated elephant dung",,,,,,,,,,
A,CSL310104,1/31/2004,,CSL,,CSL,17.80683,25.14641,,,,,,,,,29,,,,,,,BMCAP1,,,,,,,,,,"adults: 14 juveniles:15, captured adult female: collar frequ: 150.42 ID no: BMCAP1, induction: 5 minutes, recover 51 minutes",,,,,,,,,,
B,CSL310104,1/31/2004,,CSL,,,17.80683,25.14641,,,,,,,,,,,,,,,,"Cap ID: BMCAP2, orange plastic collar, adult male, ",,,,,,,,,,,,,,,,,,,,
C,CSL310104,1/31/2004,9:00,CSL,,,17.80683,25.14641,,,,,,,,,25,,,10,,,,,1,front left leg,,,,,,,,"10 juveniles, 15 adults, activity: f,g,p,d",,,,,,,,,,
,CSL010204,2/1/2004,6:00,CSL,,,17.80521,25.14668,,,,,,,,,14,No,,6,,,,,,,,,,,,,,"6 juveniles, 8 adults, activity: f, others are inside den ",,,,,,,,,,
,CSL020204,2/2/2004,6:30,CSL,,quarry,17.80974,25.15018,,,,,,,,,,,,,,,,collar freq: 150.142.3,,,,,,,,,,"collar freq: 150.142.3, activity:d",,,,,,,,,,
,CFT020204,2/2/2004,13:50,Chobe Farm troop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spoor and feces seen,,,,,,,,,,
A,CSL020204,2/2/2004,16:44,CSL,,,,,,,,,,,,,,,,,,,,radiocollar,,,,,,,,,,"activity: f, radiocollar heard but not seen.troop heard feeding under tall grass and running away when spotting us.",,,,,,,,,,
B,CSL020204,2/2/2004,19:20,CSL,,,17.80824,25.14622,,,,,,,,,37,,,20,,,,orange collar and 150.420.3,,,,,,,,,,"20 juveniles, 17 adults, activity: d, troop slept under tent platform",,,,,,,,,,
A,CSL030204,2/3/2004,6:30,CSL,,,,,,,,,,,,,14,,,6,,,,,,,,,,,,,,"6 juveniles, 8 adults, activity: f, ru, p",,,,,,,,,,
B,CSL030204,2/3/2004,15:38,CSL,,,,,,,,,,,,,,,,,,,,"orange, 150.420.3",,,,,,,,,,activity: f,,,,,,,,,,
C,CSL030204,2/3/2004,16:41,CSL,,Safari Lodge,-17.80817,25.14529,,,,,,,,,,,,,,,,"orange, 150.420.3",,,,,,,,,,activity: f,,,,,,,,,,
D,CSL030204,2/3/2004,17:53,CSL,,,-17.80824,25.14622,,,,,,,,,39,,,21,,,,"orange, 150.420.3",,,,,,,,,,"21 juveniles, 18 adults, activity: d",,,,,,,,,,
A,CSL040204,2/4/2004,6:10,CSL,,,-17.80824,25.14622,,,,,,,,,,,,,,,,"orange, 150.420.3",,,,,,,,,,"activity: f, p, r, ru",,,,,,,,,,
B,CSL040204,2/4/2004,10:38,CSL,,,-17.80683,25.14641,,,,,,,,,,,,,,,,orange  ,,,,,,,,,,activity: f,,,,,,,,,,
C,CSL040204,2/4/2004,11:00,,,,-17.80683,25.14641,,,,,,,,,,,,,,,,"orange, 150.420.3",,,,,,,,,,"activity, f",,,,,,,,,,
D,CSL040204,2/4/2004,18:19,CSL,,,-17.80669,25.14625,,,,,,,,,46,,,21,,,,"orange, 150.420.3",,,,,,,,,,"21 juveniles, 25 adults, activity: d",,,,,,,,,,
A,CSL050204,2/5/2004,8:00,CSL,,,-17.8052,25.14667,,,,,,,,,,,,,,,,"orange, 150.420.3",,,,,,,,,,,,,,,,,,,,
B,CSL050204,2/5/2004,16:30,CSL,,,,,,,,,,,,,,,,,,,,"orange, 150.420.3",,,,,,,,,,activity: f,,,,,,,,,,
C,CSL050204,2/5/2004,18:24,CSL,,,-17.80824,25.14622,,,,,,,,,37,,,16,,,,"orange, 150.420.3",,,,,,,,,,"16 juveniles. 21 adults, activity: d",,,,,,,,,,
,,2/6/2004,9:14,,,,-17.8095,25.14572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CSL060204,2/6/2004,18:29,CSL,,,-17.80824,25.14622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,CSL080204,2/8/2004,16:00,CSL,,,,,,,,,,,,,41,,,18,,,,,,,,,,,,,,"activity: f, ru",,,,,,,,,,
