Observation ID,Date,Time,Troop,Observers,Location,Latitude,Longitude,Rain Type,Temperature,Cloud Cover,Wind,Den Type,Land Use,Wilderness,Park Habitat,Count,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant stage,Identifiable Individuals,Number sick,Confidence,Sick/Complete count (Y/N),Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,# Feces,Urine,Anal Gland Secr.,Group extinction,Mix,Split,#Dispersal M,#Disperse F,Troop Name,See troop notes,AM/PM,Time up,Not seen,Comments
CCH020718,2-Jul-18,8:14,CCH,LS,Lawn in front of guest dining at CCH,-17.82767,25.13674,No Rain,,0,No,,Lodge,Cultivated (lawn),,31,No,,2,,,,"BM51618, BM51718",1,High,N,5,"Ad severaly emaciated, fur is falling out with bald spots and no bands on back, cannot keep up with troop, very lethargic, does not forage and slow to run away from human presence.",2,Ad with RC with limping back legs. Ad with right red and orange ear tags bearing no weight on right foot.,No,,,,,,,,,,,,,,Sunbathing. Ad with right red and orange ear tags. Both RC seen. One RC with right red and orange ear tags. 
KUBU020718,2-Jul-18,16:30,KUBU,"LS, SD",Under pool deck of River View Lodge,-17.79373,25.2325,No Rain,,0,No,Deck,Lodge,Cultivated (lawn),,40,No,,1,,,,"BM35716, BM50818, BM50918, BM51118",0,High,NA,NA,NA,0,NA,Yes,3 (extra) 17 collected the next morning,,,,,,,,,,,,,"Feces not solid.  RC seen. Ad w/ left brown? (very dirty) and maybe right yellow? Ad left blue and right purple. Ad. w/ bottom purple, top missing.  Ad. w/ left top red/orange.  Ad. w/ right yellow and left green. "
KWA030718,3-Jul-18,8:50,KWA,"LS, RK",Woodpile behind guest chalet #37 and #38 at Kwalape,-17.79862,25.21674,No Rain,,0,Slight,"Hole in ground, woodpile ",Lodge,Heavily degraded ,,16,No,,6,,,,"BM49418, BM40317, BM49618, BM49518",0,High,NA,NA,NA,0,NA,Yes,4,,,,,,1,,,,,,,Both RC seen.  Other RC with right grey. Ad. w/ right grey (dirty). BM40317 old KWA male with RC back in troop
CCH030718,3-Jul-18,16:40,CCH,"LS, KV",Under water containers by CCH trash area,-17.82771,25.13796,No Rain,,0,Slight,Water containers ,Lodge,Buildings,,10,No,,,,,,BM51618,1,High,N,3,RC w/ right swollen limping foot,0,NA,Yes,10,,,,,,,,,,,,,LS and KV trying to capture sick/dying individual. RC w/ swollen limping foot. Most of the troop already in den. 
KWA040718,4-Jul-18,8:05,KWA,LS,Tool shed building next to staff kitchen and trash area at Kwalape,-17.79818,25.21785,No Rain,,0,Very,,Lodge,Buildings,,19,No,,3,,,,"BM49518, BM49418, BM49618",0,High,NA,NA,NA,0,NA,No,,,,,,,,,,,,,,RC seen. w/ right green ear tag? (dirty) no left. Ad. w/ right grey ear tag no left. RC seen w/ left red tag. 
TBE040718,4-Jul-18,9:00,TBE,LS,Woodpile by staff parking at Thebe,-17.78608,25.18113,No Rain,,0,Very,Building material,Lodge,Buildings,,12,No,,2,,,,"BM52318. BM52618, BM5218",ND,NA,NA,NA,NA,ND,NA,Yes,9,,,,,,,,,,,,,"SA w/ right top dark blue, bottom sky blue and left yellow.  SA w/ right dark blue/sky blue left red. RC seen w/ right dark blue/sky blue and no left tags"
MOW040718,4-Jul-18,9:25,MOW,LS,Woodpile next to trash area at Mowana,-17.78263,25.15992,No Rain,,0,Very,Building material,Lodge,Buildings,,19,No,,3,,,,"BM53318, BM53518, BM41117",0,High,NA,NA,NA,0,NA,Yes,15,,,,,,,,,,,,,RC seen w/ right orange/purple and left green.  Ad. w/ right orange/purple and left pink.  Ad. w/ right yellow and left purple
ODH040718,4-Jul-18,11:45,ODH,LS,Trash area across from Hospital labs,-17.80061,25.1505,No Rain,,0,Very,,Urban ,Buildings,,35,No,,1,,,,BM51318,ND,NA,NA,NA,NA,ND,NA,No,,,,,,,,,,,,,,RC seen 
CCH040718,4-Jul-18,15:40,CCH,"LS, KV, LZ",Trash area at CCH,-17.82776,25.13845,No Rain,,0,Slight,,Lodge,Buildings,,3,No,,2,,,,,1,High,N,5,Individual with open lesions on face.,0,NA,No,,,,,,,,,,,,,,"LS, KV capturing sick/dying individual. Troop ran off "
ODH040718,4-Jul-18,16:22,ODH,"LS, KV",Outside of the fence of the Ministry of Transportation,-17.80141,25.15031,No Rain,,2,Very,,Urban ,Buildings,,21,No,,4,,,,BM51318,0,Low,NA,NA,NA,1,Male with crooked tail,Yes,7,,,,,,,,,,,,,Male with crooked tail. 4 mating pairs. RC seen with right grey and pink ear tags.
