,Date,Troop,Latitude,Longitude,Count,Complete Count?,ObsYear,ObsMonth,Tuple,cleaner
22,2013-09-05,CCH,,,19.0,,2013.0,9.0,"(9.0, 2013.0)",1.0
23,2013-09-12,CCH,-17.82746,25.13761,18.0,,2013.0,9.0,"(9.0, 2013.0)",1.0
24,2013-09-25,CCH,-17.8274,25.13817,15.0,,2013.0,9.0,"(9.0, 2013.0)",1.0
25,2013-10-01,CCH,-17.79475,25.15429,21.0,,2013.0,10.0,"(10.0, 2013.0)",1.0
26,2013-10-02,CCH,-17.82833,25.13828,18.0,,2013.0,10.0,"(10.0, 2013.0)",1.0
27,2013-10-10,CCH,-17.82761,25.13788,5.0,,2013.0,10.0,"(10.0, 2013.0)",1.0
28,2013-10-17,CCH,-17.82761,25.13788,5.0,,2013.0,10.0,"(10.0, 2013.0)",1.0
29,2013-10-22,CCH,-17.82794,25.13705,4.0,,2013.0,10.0,"(10.0, 2013.0)",1.0
30,2013-10-31,CCH,-17.82794,25.13705,4.0,,2013.0,10.0,"(10.0, 2013.0)",1.0
31,2013-11-21,CCH,-17.83082,25.14933,16.0,,2013.0,11.0,"(11.0, 2013.0)",1.0
32,2013-11-28,CCH,-17.83082,25.14933,16.0,,2013.0,11.0,"(11.0, 2013.0)",1.0
33,2013-11-29,CCH,-17.82805,25.13716,4.0,,2013.0,11.0,"(11.0, 2013.0)",1.0
34,2013-12-04,CCH,-17.82805,25.13716,4.0,,2013.0,12.0,"(12.0, 2013.0)",1.0
35,2013-12-05,CCH,-17.82787,25.1375,9.0,,2013.0,12.0,"(12.0, 2013.0)",1.0
36,2013-12-12,CCH,-17.82736,25.13829,14.0,,2013.0,12.0,"(12.0, 2013.0)",1.0
37,2013-12-12,CCH,-17.82787,25.1375,9.0,,2013.0,12.0,"(12.0, 2013.0)",1.0
38,2013-12-17,CCH,-17.82635,25.13841,12.0,,2013.0,12.0,"(12.0, 2013.0)",1.0
39,2014-01-10,CCH,-17.82736,25.13829,14.0,,2014.0,1.0,"(1.0, 2014.0)",1.0
40,2014-01-14,CCH,-17.82635,25.13841,12.0,,2014.0,1.0,"(1.0, 2014.0)",1.0
41,2014-01-16,CCH,-17.79475,25.15429,21.0,,2014.0,1.0,"(1.0, 2014.0)",1.0
42,2014-02-02,CCH,-17.82777,25.13877,11.0,,2014.0,2.0,"(2.0, 2014.0)",1.0
