,Date,Troop,Latitude,Longitude,Count,Complete Count?
22,2013-09-05,CCH,,,19.0,
23,2013-09-12,CCH,-17.82746,25.13761,18.0,
24,2013-09-25,CCH,-17.8274,25.13817,15.0,
25,2013-10-01,CCH,-17.79475,25.15429,21.0,
26,2013-10-02,CCH,-17.82833,25.13828,18.0,
27,2013-10-10,CCH,-17.82761,25.13788,5.0,
28,2013-10-17,CCH,-17.82761,25.13788,5.0,
29,2013-10-22,CCH,-17.82794,25.13705,4.0,
30,2013-10-31,CCH,-17.82794,25.13705,4.0,
31,2013-11-21,CCH,-17.83082,25.14933,16.0,
32,2013-11-28,CCH,-17.83082,25.14933,16.0,
33,2013-11-29,CCH,-17.82805,25.13716,4.0,
34,2013-12-04,CCH,-17.82805,25.13716,4.0,
35,2013-12-05,CCH,-17.82787,25.1375,9.0,
36,2013-12-12,CCH,-17.82736,25.13829,14.0,
37,2013-12-12,CCH,-17.82787,25.1375,9.0,
38,2013-12-17,CCH,-17.82635,25.13841,12.0,
39,2014-01-10,CCH,-17.82736,25.13829,14.0,
40,2014-01-14,CCH,-17.82635,25.13841,12.0,
41,2014-01-16,CCH,-17.79475,25.15429,21.0,
42,2014-02-02,CCH,-17.82777,25.13877,11.0,
43,2014-02-03,CCH,-17.82777,25.13877,11.0,
44,2014-02-20,CCH,-17.82661,25.13939,13.0,
45,2014-02-27,CCH,-17.82777,25.13877,11.0,
46,2014-02-28,CCH,-17.82661,25.13939,13.0,
57,2015-10-30,CCH,-17.8277323,25.1380786,10.0,
58,2015-11-21,CCH,,,13.0,
59,2015-12-30,CCH,-17.8277323,25.1380786,2.0,
60,2016-01-12,CCH,17.82628,25.13815,7.0,No
61,2016-01-13,CCH,17.82628,25.13815,7.0,No
62,2016-01-15,CCH,17.82628,25.13815,12.0,No
63,2016-01-18,CCH,17.82628,25.13815,8.0,
64,2016-01-21,CCH,17.8289,25.13665,8.0,
65,2016-01-29,CCH,-,-,1.0,
66,2016-02-01,CCH,-,-,1.0,
67,2016-03-17,CCH,17.82765,25.13747,19.0,No
68,2016-03-18,CCH,17.82765,25.13747,2.0,No
69,2016-03-19,CCH,17.82765,25.13747,2.0,No
70,2016-04-15,CCH,17.82656,25.13838,38.0,No
71,2016-04-27,CCH,17.82784,25.13783,33.0,
72,2016-05-04,CCH,17.80206,25.14918,22.0,No
73,2016-06-16,CCH,17.80206,25.14918,13.0,No
74,2016-06-20,CCH,17.80206,25.14918,20.0,No
75,2016-06-24,CCH,-,-,20.0,No
76,2016-07-07,CCH,17.79494,25.21364,19.0,No
77,2016-07-22,CCH,17.80817,25.153,4.0,No
78,2016-08-01,CCH,17.82737,25.13812,13.0,No
79,2016-09-06,CCH,17.79572,25.15422,24.0,No
80,2016-09-15,CCH,17.82737,25.13812,24.0,
81,2016-10-12,CCH,17.8263,25.13799,24.0,No
82,2016-10-14,CCH,17.8263,25.13799,26.0,No
83,2016-10-20,CCH,17.827898,25.136796,25.0,No
84,2016-12-19,CCH,17.82645,25.134429,6.0,
85,2017-01-20,CCH,17.82789,25.13895,5.0,
86,2017-01-26,CCH,17.827612,25.137903,3.0,No
87,2017-01-27,CCH,17.827612,25.137903,17.0,No
88,2017-02-02,CCH,17.827612,25.137988,20.0,No
89,2017-02-07,CCH,17.827612,25.137903,20.0,No
90,2017-02-17,CCH,17.8274,25.13809,10.0,No
91,2017-02-21,CCH,17.8274,25.13809,20.0,
92,2017-02-27,CCH,17.82718,25.13829,18.0,
93,2017-03-13,CCH,-17.82782,25.13804,17.0,
94,2017-04-13,CCH,-17.82927,25.13676,35.0,30
95,2017-05-05,CCH,-17.82771,25.13744,29.0,Yes
96,2017-05-10,CCH,-17.82755,25.13807,27.0,No
97,2017-05-11,CCH,-17.82758,25.13817,24.0,Yes
98,2017-06-08,CCH,-17.82847,25.13948,46.0,Yes
99,2017-06-15,CCH,-1782016,25.1382,12.0,No
100,2017-06-21,CCH,-17.82625,25.13834,48.0,No
101,2017-07-13,CCH,-17.8277,25.13804,20.0,No
102,2017-07-30,CCH,-17.82842,25.13982,1.0,No
103,2017-08-06,CCH,-17.82744,25.13749,54.0,Yes
104,2017-09-07,CCH,-17.82757,25.13818,32.0,No
105,2017-09-14,CCH,-17.82753,25.13.915,24.0,No
106,2017-09-28,CCH,-17.82762,25.13812,22.0,No
107,2017-10-13,CCH,-17.828113,25.136941,26.0,Yes
108,2017-11-20,CCH,-17.82781,25.13809,14.0,No
109,2017-11-29,CCH,-17.82885,25.13878,24.0,No
142,2012-04-11,CGL,,,30.0,
143,2012-05-04,CGL,,,40.0,
144,2012-06-13,CGL,,,37.0,
145,2012-07-11,CGL,,,33.0,
146,2012-07-26,CGL,,,32.0,
147,2012-08-23,CGL,,,36.0,
148,2012-09-06,CGL,,,24.0,No
149,2012-09-14,CGL,,,20.0,No
150,2012-10-19,CGL,,,35.0,
151,2012-11-06,CGL,,,0.0,
152,2012-11-19,CGL,,,22.0,
153,2012-11-28,CGL,,,19.0,
161,2013-09-05,CGL,-17.84224,25.07551,20.0,
162,2013-09-09,CGL,-17.84224,25.07551,20.0,
163,2013-09-12,CGL,-17.84113,25.07636,37.0,No
164,2013-09-18,CGL,-17.84113,25.07636,37.0,
165,2013-09-19,CGL,,,9.0,
166,2013-09-25,CGL,,,9.0,
167,2013-10-03,CGL,-17.84139,25.07655,34.0,
168,2013-10-10,CGL,-17.84042,25.0762,29.0,
169,2013-10-17,CGL,-17.84096,25.07728,32.0,
170,2013-10-18,CGL,-17.84042,25.0762,29.0,
171,2013-10-24,CGL,-17.84169,25.07614,20.0,
172,2013-10-31,CGL,-17.6427,25.08048,20.0,
173,2013-11-04,CGL,-17.84169,25.07614,20.0,
174,2013-11-15,CGL,-17.84145,25.07612,11.0,
175,2013-11-21,CGL,-17.6427,25.08048,20.0,
176,2013-11-21,CGL,-17.84145,25.07612,11.0,
177,2013-11-22,CGL,-17.842,25.07747,18.0,
178,2013-12-05,CGL,-17.84363,25.0734,38.0,
179,2013-12-12,CGL,-17.84042,25.07956,15.0,
180,2014-01-03,CGL,-17.84042,25.07956,15.0,
181,2014-01-31,CGL,-17.84162,25.07573,29.0,
182,2014-02-25,CGL,-17.84162,25.07573,29.0,
185,2016-01-13,CGL,-,-,18.0,
186,2016-01-14,CGL,17.84295,25.07788,20.0,No
187,2016-01-22,CGL,17.84129,25.07511,8.0,
188,2016-02-17,CGL,17.84233,25.0754,7.0,No
189,2016-02-23,CGL,17.84103,25.07688,11.0,
190,2016-02-25,CGL,17.84161,25.0761,13.0,Yes
191,2016-02-26,CGL,17.84072,25.07431,8.0,No
192,2016-03-02,CGL,17.84149,25.07759,12.0,No
193,2016-03-04,CGL,-,-,7.0,No
194,2016-03-09,CGL,-,-,12.0,No
195,2016-03-10,CGL,17.84168,25.07618,5.0,
196,2016-04-18,CGL,17.84288,25.07571,10.0,No
197,2016-05-09,CGL,17.84167,25.07586,12.0,
198,2016-05-11,CGL,17.84421,25.07811,10.0,
199,2016-06-08,CGL,17.8454,025. 07574,6.0,No
200,2016-06-16,CGL,17.84261,25.07565,5.0,No
201,2016-06-27,CGL,17.84206,25.07827,10.0,
202,2016-06-30,CGL,17.84172,25.076,4.0,No
203,2016-07-20,CGL,17.84204,25.07586,4.0,Yes
204,2016-08-25,CGL,17.842977,25.077791,8.0,No
205,2016-09-20,CGL,17.84345,25.07621,12.0,
206,2016-09-23,CGL,17.84254,25.0761,12.0,No
207,2016-10-17,CGL,17.8421,25.07473,16.0,No
208,2016-10-24,CGL,17.842,25.07936,4.0,No
