,Unnamed: 0,Observation ID,Date,Time,Troop,Observers,Location,Latitude,Longitude,Rain Type,Land Use,Temperature,Cloud Cover,Wind,Wilderness,Den Type,Park Habitat,Count,Complete Count?,Group Spread,Number juveniles/ Sub-Adults,# Pups,# Pregnant,Pregnant third,Identifiable Individuals,Number sick,Illness Rank,Description of Signs,Number injured,Description of Injuries,Feces,# Feces,Urine,Anal Gland Secr.,Comments,Mix,Troop Name,Split,Columna1,Columna2,Columna3,AM/PM,Time up,Not seen,Columna4,ObsYear,ObsMonth,cleaner,Tuple
22,,CCH050913,2013-09-05,,CCH,Claire,Under carport,,,,,,,,,,,19.0,,,,,,,,2,,"One sick with TB. One mongoose limping, poss TB.",,,,,,,,,,,,,,AM,,,,2013.0,9.0,1.0,"(9.0, 2013.0)"
23,,CCH120913,2013-09-12,14:21,CCH,,,-17.82746,25.13761,,,,,,,,,18.0,,,,,,,,3,,sick1-swollen throat & emaciated. Sick2-emaciated. Sick3-swollen forehead,,,,,,,,,,,,,,PM,,,,2013.0,9.0,1.0,"(9.0, 2013.0)"
24,,CCH250913,2013-09-25,8:45,CCH,,,-17.8274,25.13817,,,,,,,,,15.0,,,,,,,,3,,"sick1 emaciated backbone hunched, sick2 swollen forehead, swollen jaws, bubble nose, swollen nose, watery eyes & emaciated",,,,,,,,,,,,,,AM,,,,2013.0,9.0,1.0,"(9.0, 2013.0)"
25,,CCH011013,2013-10-01,8:26,CCH,,,-17.79475,25.15429,,,,,,,,,21.0,,,,,,,,1,,,,,,,,,sick 1 swollen left hind leg,,,,,,,AM,,,,2013.0,10.0,1.0,"(10.0, 2013.0)"
26,,CCH021013,2013-10-02,12:30,CCH,,,-17.82833,25.13828,,,,,,,,,18.0,,,,,,,,2,,"sick1 emaciated backbone hunched, sick2 swollen forehead",,,,,,,,,,,,,,PM,,,,2013.0,10.0,1.0,"(10.0, 2013.0)"
27,474,CCH1010113,2013-10-10,14:16,CCH,,Goods container,-17.82761,25.13788,,,,,,,,,5.0,,,,,,,,1,," Sick1-swollen face and very sick, one eyed closed",,,,,,,resting underneath goods container.,,,,,,,PM,,,,2013.0,10.0,1.0,"(10.0, 2013.0)"
28,464,CCH171013,2013-10-17,14:16,CCH,,Chobe Chilwero,-17.82761,25.13788,,,,,,,,,5.0,,,,,,,,1,,"Sick 1- swollen face and very sick, one eye closed",,,,,,,resting underneath goods container. ,,,,,,,PM,,,,2013.0,10.0,1.0,"(10.0, 2013.0)"
29,494,CCH221013,2013-10-22,15:45,CCH,,,-17.82794,25.13705,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,2013.0,10.0,1.0,"(10.0, 2013.0)"
30,483,CCH311013,2013-10-31,15:45,CCH,,Chobe Chilwero,-17.82794,25.13705,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,PM,,,,2013.0,10.0,1.0,"(10.0, 2013.0)"
31,527,CCH211113,2013-11-21,17:01,CCH,,main road,-17.83082,25.14933,,,,,,,,,16.0,,,,,,,,1,,emacited,,,,,,,,,,,,,,PM,,,,2013.0,11.0,1.0,"(11.0, 2013.0)"
32,507,CCH281113,2013-11-28,17:01,CCH,,main road,-17.83082,25.14933,,,,,,,,,16.0,,,,,,,,1,,Emaciated,,,,,,,,,,,,,,PM,,,,2013.0,11.0,1.0,"(11.0, 2013.0)"
33,542,CCH291113,2013-11-29,11:12,CCH,,,-17.82805,25.13716,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,AM,,,,2013.0,11.0,1.0,"(11.0, 2013.0)"
34,532,CCH041213,2013-12-04,11:12,CCH,,,-17.82805,25.13716,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,AM,,,,2013.0,12.0,1.0,"(12.0, 2013.0)"
35,564,CCH051213,2013-12-05,11:45,CCH,,,-17.82787,25.1375,,,,,,,,,9.0,,,,,,,,,,,,,,,,,foraging in the lodge,,,,,,,AM,,,,2013.0,12.0,1.0,"(12.0, 2013.0)"
36,567,CCH121213,2013-12-12,10:41,CCH,,,-17.82736,25.13829,,,,,,,,,14.0,,,,,,,,2,,both sick have wounds on their noses,,,,,,,,,,,,,,AM,,,,2013.0,12.0,1.0,"(12.0, 2013.0)"
37,552,CCH121213,2013-12-12,11:24,CCH,,foraging in the lodge,-17.82787,25.1375,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,AM,,,,2013.0,12.0,1.0,"(12.0, 2013.0)"
38,563,CCH171213,2013-12-17,15:05,CCH,,,-17.82635,25.13841,,,,,,,,,12.0,,,,,,,,1,,sick with red nose & emaciated,,,,,,,,,,,,,,PM,,,,2013.0,12.0,1.0,"(12.0, 2013.0)"
39,,CCH100114,2014-01-10,10:41,CCH,,Chobe Chilwero,-17.82736,25.13829,,,,,,,,,14.0,,,,,,,,2,,both sick have wounds on their noses,,,,,,,,,,,,,,AM,,,,2014.0,1.0,1.0,"(1.0, 2014.0)"
40,,CCH140114,2014-01-14,15:05,CCH,,Chobe Chilwero,-17.82635,25.13841,,,,,,,,,12.0,,,,,,,,1,,sick with red nose and emacited,,,,,,,,,,,,,,PM,,,,2014.0,1.0,1.0,"(1.0, 2014.0)"
41,644,CCH160114,2014-01-16,8:26,CCH,,Chobe Chilwero ,-17.79475,25.15429,,,,,,,,,21.0,,,,,,,,1,,sick 1 swollen left hind leg,,,,,,,,,,,,,,AM,,,,2014.0,1.0,1.0,"(1.0, 2014.0)"
42,618,CCH020214,2014-02-02,8:44,CCH,,,-17.82777,25.13877,,,,,,,,,11.0,,,,,,,,1,,,,,,,,,sleepy and solitary,,,,,,,AM,,,,2014.0,2.0,1.0,"(2.0, 2014.0)"
43,605 618,CCH030214,2014-02-03,8:33,CCH,,,-17.82777,25.13877,,,,,,,,,11.0,,,,,,,,1,,sleepy and solitary,,,,,,,,,,,,,,,,,,2014.0,2.0,1.0,"(2.0, 2014.0)"
44,621,CCH200214,2014-02-20,10:20,CCH,,CCH,-17.82661,25.13939,,,,,,,,,13.0,,,,,,,,1,,sick 1- emacited,,,,,,,,,,,,,,AM,,,,2014.0,2.0,1.0,"(2.0, 2014.0)"
