ObservationID,S Total,Uncert ST,S Male,Uncert SM,S Female,Uncert SF,S Unknown,Uncert SU,S Adult,Uncert SA,S Adult Male,Uncert SAM,S Adult Female,Uncert SAF,S Adult Female Preg,Uncert SAFP,S Adult Female Lactating,Uncert SAFL,S Adult Female Enlarged Nip,Uncert SAFEN,S Adult Unknown,Uncert SAU,S SubAd,Uncert SS,S SubAd Male,Uncert SSM,S SubAd Female,Uncert SSF,S SubAd Unknown,Uncert SSU,S Juvenile,Uncert SJ,S Juvenile Male,Uncert SJM,S Juvenile Female,Uncert SJF,S Juvenile Unknown,Uncert SJU,I Total,Uncert IT,I Male,Uncert IM,I Female,Uncert IF,I Unknown,Uncert IU,I Adult,Uncert IA,I Adult Male,Uncert IAM,I Adult Female,Uncert IAF,I Adult Female Preg,Uncert IAFP,I Adult Female Lactating,Uncert IAFL,I Adult Female Enlarged Nip,Uncert IAFEN,I Adult Unknown,Uncert IAU,I SubAd,Uncert IS,I SubAd Male,Uncert ISM,I SubAd Female,Uncert ISF,I SubAd Unknown,Uncert ISU,I Juvenile,Uncert IJ,I Juvenile Male,Uncert IJM,I Juvenile Female,Uncert IJF,I Juvenile Unknown,Uncert IJU,IndividualsObserved
air0911191652,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air1008260805,10,1,3,,4,,3,,5,,2,,2,,,,,,,,1,,5,,1,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,probably 2 AM 3 AF
air1011221150,7,2,3,2,4,2,,,7,2,3,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air1101130810,12,2,,,,,,,7,2,2,2,,,2,2,,,,,,,1,2,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdf1008111030,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bdf guy says there are more than 20 in this troop.
bdf1008200730,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdf1008200758,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,incl csl Telonics collar (combined count)
bdf1009030707,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,about 20 to 30 animals.
bdf1009031025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 old telonics collar.
bdf1009070834,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
