,Date,tdate,tdint,quarter,T,A,S,J,week,Troop
0,2008-05-11,0.5260273972602739,-1.0,3.0,31.0,,,,28,CCH
1,2008-05-18,0.5452054794520548,-1.0,3.0,34.0,,,,29,CCH
2,2008-05-25,0.5643835616438356,-1.0,3.0,35.0,,,,30,CCH
3,2008-06-01,0.5835616438356165,-1.0,3.0,37.0,,,,31,CCH
4,2008-06-08,0.6027397260273972,-1.0,3.0,37.0,,,,32,CCH
5,2008-06-15,0.6219178082191781,-1.0,3.0,37.0,,,,33,CCH
6,2008-06-22,0.6410958904109589,-1.0,3.0,37.0,,,,34,CCH
7,2008-06-29,0.6602739726027397,-1.0,3.0,37.0,,,,35,CCH
8,2008-07-06,0.6794520547945205,-1.0,3.0,36.0,,,,36,CCH
9,2008-07-13,0.6986301369863014,-1.0,3.0,36.0,13.0,14.0,9.0,37,CCH
10,2008-07-20,0.7178082191780822,-1.0,3.0,34.0,12.0,14.0,9.0,38,CCH
11,2008-07-27,0.736986301369863,-1.0,3.0,33.0,12.0,14.0,10.0,39,CCH
12,2008-08-03,0.7561643835616438,-1.0,4.0,32.0,11.0,14.0,10.0,40,CCH
13,2008-08-10,0.7753424657534247,-1.0,4.0,32.0,10.0,14.0,10.0,41,CCH
14,2008-08-17,0.7945205479452054,-1.0,4.0,31.0,,,,42,CCH
15,2008-08-24,0.8136986301369863,-1.0,4.0,30.0,,,,43,CCH
16,2008-08-31,0.8328767123287671,-1.0,4.0,30.0,,,,44,CCH
17,2008-09-07,0.852054794520548,-1.0,4.0,29.0,,,,45,CCH
18,2008-09-14,0.8712328767123287,-1.0,4.0,28.0,,,,46,CCH
19,2008-09-21,0.8904109589041096,-1.0,4.0,27.0,,,,47,CCH
20,2008-09-28,0.9095890410958904,-1.0,4.0,26.0,,,,48,CCH
21,2008-10-05,0.9287671232876712,-1.0,4.0,26.0,,,,49,CCH
22,2008-10-12,0.947945205479452,-1.0,4.0,25.0,,,,50,CCH
23,2008-10-19,0.9671232876712329,-1.0,4.0,24.0,,,,51,CCH
24,2008-10-26,0.9863013698630136,-1.0,4.0,23.0,,,,52,CCH
25,2008-11-02,0.005479452054794521,0.0,1.0,15.0,1.0,,,1,CCH
26,2008-11-09,0.024657534246575342,0.0,1.0,14.0,4.0,,,2,CCH
27,2008-11-16,0.043835616438356165,0.0,1.0,14.0,6.0,,,3,CCH
28,2008-11-23,0.06301369863013699,0.0,1.0,14.0,9.0,,,4,CCH
29,2008-11-30,0.0821917808219178,0.0,1.0,13.0,12.0,,,5,CCH
30,2008-12-07,0.10136986301369863,0.0,1.0,16.0,8.0,,,6,CCH
31,2008-12-14,0.12054794520547946,0.0,1.0,20.0,5.0,,15.0,7,CCH
32,2008-12-21,0.13972602739726028,0.0,1.0,22.0,7.0,,13.0,8,CCH
33,2008-12-28,0.1589041095890411,0.0,1.0,24.0,9.0,,11.0,9,CCH
34,2009-01-04,0.17534246575342466,0.0,1.0,25.0,11.0,,9.0,10,CCH
35,2009-01-11,0.19452054794520549,0.0,1.0,27.0,13.0,,7.0,11,CCH
36,2009-01-18,0.2136986301369863,0.0,1.0,29.0,,,,12,CCH
37,2009-01-25,0.2328767123287671,0.0,1.0,30.0,,,,13,CCH
38,2009-02-01,0.25205479452054796,0.0,2.0,32.0,19.0,12.0,1.0,14,CCH
39,2009-02-08,0.27123287671232876,0.0,2.0,33.0,19.0,12.0,1.0,15,CCH
40,2009-02-15,0.29041095890410956,0.0,2.0,34.0,18.0,12.0,1.0,16,CCH
41,2009-02-22,0.3095890410958904,0.0,2.0,34.0,18.0,12.0,1.0,17,CCH
42,2009-03-01,0.3287671232876712,0.0,2.0,35.0,18.0,12.0,2.0,18,CCH
43,2009-03-08,0.34794520547945207,0.0,2.0,35.0,,,,19,CCH
